Status,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Tuition_fees_up_to_date,Scholarship_holder,Age_at_enrollment,Application_mode,Debtor,Gender,Course,Curricular_units_2nd_sem_enrolled,Mothers_qualification,Admission_grade,Displaced,Curricular_units_2nd_sem_evaluations,Marital_status,Previous_qualification_grade,Mothers_occupation,Curricular_units_2nd_sem_without_evaluations,GDP,Age_grouped,Admission_grade_grouped,Curricular_units_2nd_sem_grade_grouped,Previous_qualification_grade_grouped
Graduate,8,14.772727272727272,1,0,18,17 - 2nd phase - general contingent,0,0,9500 - Nursing,8,1 - Secondary Education - 12th Year of Schooling or Eq.,134.9,0,11,1 – single,147.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,-0.92,17-20,131-140,12-15,141-150
Graduate,6,12.714285714285714,1,0,19,1 - 1st phase - general contingent,0,0,9773 - Journalism and Communication,6,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,142.0,1,7,1 – single,129.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,-3.12,17-20,141-150,12-15,121-130
Dropout,0,0.0,1,0,19,17 - 2nd phase - general contingent,0,0,171 - Animation and Multimedia Design,0,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,127.3,1,0,1 – single,136.0,"7 - Skilled Workers in Industry, Construction and Craftsmen",0,-4.06,17-20,121-130,0-3,131-140
Graduate,6,10.5,1,1,18,17 - 2nd phase - general contingent,0,0,9238 - Social Service,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,116.5,0,9,1 – single,128.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,1.79,17-20,111-120,9-12,121-130
Graduate,8,13.063636363636364,1,1,19,43 - Change of course,0,0,9500 - Nursing,8,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,138.6,0,11,1 – single,140.0,"7 - Skilled Workers in Industry, Construction and Craftsmen",0,-0.92,17-20,131-140,12-15,141-150
Dropout,10,12.9,1,0,20,42 - Transfer,0,0,9853 - Basic Education,12,37 - Basic education 1st cycle (4th/5th year) or equiv.,133.0,0,18,1 – single,141.0,9 - Unskilled Workers,0,1.74,17-20,131-140,12-15,141-150
Enrolled,2,10.5,1,0,19,17 - 2nd phase - general contingent,0,0,9238 - Social Service,6,2 - Higher Education - Bachelor's Degree,136.2,1,12,1 – single,133.0,3 - Intermediate Level Technicians and Professions,0,0.32,17-20,131-140,9-12,131-140
Graduate,3,12.333333333333334,1,1,19,17 - 2nd phase - general contingent,0,0,9254 - Tourism,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,118.0,1,9,1 – single,125.0,"7 - Skilled Workers in Industry, Construction and Craftsmen",0,-3.12,17-20,111-120,12-15,121-130
Enrolled,5,11.142857142857142,1,1,18,1 - 1st phase - general contingent,0,0,9070 - Communication Design,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,126.8,0,12,1 – single,124.0,4 - Administrative staff,0,0.79,17-20,121-130,9-12,121-130
Graduate,8,13.40375,1,1,18,1 - 1st phase - general contingent,0,0,9500 - Nursing,8,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,128.5,1,8,1 – single,140.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,-3.12,17-20,121-130,12-15,141-150
Graduate,3,12.666666666666666,1,1,19,17 - 2nd phase - general contingent,0,0,9254 - Tourism,6,3 - Higher Education - Degree,129.9,0,9,1 – single,140.0,2 - Specialists in Intellectual and Scientific Activities,0,-3.12,17-20,121-130,12-15,141-150
Dropout,6,12.333333333333334,1,0,20,17 - 2nd phase - general contingent,1,1,9773 - Journalism and Communication,6,1 - Secondary Education - 12th Year of Schooling or Eq.,125.8,0,6,1 – single,137.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,-1.7,17-20,121-130,12-15,131-140
Enrolled,0,0.0,1,1,18,17 - 2nd phase - general contingent,0,1,171 - Animation and Multimedia Design,0,37 - Basic education 1st cycle (4th/5th year) or equiv.,129.3,1,0,1 – single,144.0,9 - Unskilled Workers,0,0.32,17-20,121-130,0-3,141-150
Dropout,0,0.0,1,0,18,1 - 1st phase - general contingent,0,1,9500 - Nursing,8,4 - Higher Education - Master's,124.7,1,0,1 – single,138.0,2 - Specialists in Intellectual and Scientific Activities,0,-0.92,17-20,121-130,0-3,131-140
Dropout,4,16.0,0,0,35,39 - Over 23 years old,1,1,9003 - Agronomy,6,3 - Higher Education - Degree,154.9,0,10,1 – single,130.0,2 - Specialists in Intellectual and Scientific Activities,0,3.51,31-40,151-160,15-18,131-140
Enrolled,3,11.0,1,0,18,17 - 2nd phase - general contingent,0,1,9119 - Informatics Engineering,5,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,127.3,0,6,1 – single,142.0,9 - Unskilled Workers,1,-0.92,17-20,121-130,9-12,141-150
Graduate,0,0.0,1,1,19,1 - 1st phase - general contingent,0,1,171 - Animation and Multimedia Design,0,37 - Basic education 1st cycle (4th/5th year) or equiv.,129.0,1,0,1 – single,136.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,0.79,17-20,121-130,0-3,131-140
Enrolled,6,12.285714285714286,1,1,19,1 - 1st phase - general contingent,0,1,9773 - Journalism and Communication,6,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,98.0,1,8,1 – single,133.1,4 - Administrative staff,0,-4.06,17-20,<=100,12-15,131-140
Enrolled,4,12.25,1,0,20,17 - 2nd phase - general contingent,0,1,9147 - Management,5,1 - Secondary Education - 12th Year of Schooling or Eq.,122.0,1,11,1 – single,130.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,1.74,17-20,121-130,12-15,131-140
Enrolled,4,10.333333333333334,1,0,19,43 - Change of course,0,1,9070 - Communication Design,6,1 - Secondary Education - 12th Year of Schooling or Eq.,112.5,1,13,1 – single,117.0,4 - Administrative staff,0,0.79,17-20,111-120,9-12,111-120
Dropout,2,10.0,1,0,19,1 - 1st phase - general contingent,0,1,9147 - Management,5,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,127.3,1,7,1 – single,136.0,9 - Unskilled Workers,0,-1.7,17-20,121-130,9-12,131-140
Dropout,0,0.0,1,0,24,39 - Over 23 years old,0,1,9556 - Oral Hygiene,7,1 - Secondary Education - 12th Year of Schooling or Eq.,100.5,0,13,1 – single,133.1,9 - Unskilled Workers,1,2.02,21-25,101-110,0-3,131-140
Dropout,0,0.0,0,0,29,39 - Over 23 years old,1,1,8014 - Social Service (evening attendance),6,37 - Basic education 1st cycle (4th/5th year) or equiv.,122.0,1,7,1 – single,140.0,9 - Unskilled Workers,0,1.79,26-30,121-130,0-3,141-150
Graduate,2,12.6,1,0,24,39 - Over 23 years old,0,1,9500 - Nursing,8,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,140.0,0,22,1 – single,150.0,9 - Unskilled Workers,0,-4.06,21-25,141-150,12-15,151-160
Graduate,4,12.5,1,0,19,17 - 2nd phase - general contingent,0,1,9254 - Tourism,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,116.1,1,11,1 – single,121.0,"6 - Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",0,-4.06,17-20,111-120,12-15,121-130
Dropout,0,0.0,1,0,37,7 - Holders of other higher courses,0,1,171 - Animation and Multimedia Design,0,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,130.0,1,0,2 – married,120.0,9 - Unskilled Workers,0,0.32,31-40,131-140,0-3,121-130
Graduate,5,11.8,1,0,18,Others,0,1,9070 - Communication Design,6,1 - Secondary Education - 12th Year of Schooling or Eq.,146.2,1,6,1 – single,143.0,4 - Administrative staff,0,-0.92,17-20,141-150,9-12,141-150
Enrolled,6,14.125,1,1,20,44 - Technological specialization diploma holders,0,1,9119 - Informatics Engineering,6,1 - Secondary Education - 12th Year of Schooling or Eq.,180.0,0,10,1 – single,180.0,9 - Unskilled Workers,0,1.79,17-20,>170,12-15,>170
Dropout,0,0.0,0,0,18,1 - 1st phase - general contingent,0,1,9147 - Management,5,Others,127.8,1,0,1 – single,132.0,3 - Intermediate Level Technicians and Professions,0,2.02,17-20,121-130,0-3,131-140
Enrolled,3,13.333333333333334,1,0,22,43 - Change of course,0,1,9147 - Management,5,37 - Basic education 1st cycle (4th/5th year) or equiv.,130.8,0,9,1 – single,130.0,9 - Unskilled Workers,2,-0.92,21-25,131-140,12-15,131-140
Enrolled,3,10.571428571428571,1,1,22,17 - 2nd phase - general contingent,0,1,9147 - Management,5,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,109.0,1,9,1 – single,133.1,4 - Administrative staff,0,1.74,21-25,101-110,9-12,131-140
Dropout,0,0.0,0,0,18,1 - 1st phase - general contingent,1,1,9773 - Journalism and Communication,6,1 - Secondary Education - 12th Year of Schooling or Eq.,132.4,1,0,1 – single,131.0,9 - Unskilled Workers,0,2.02,17-20,131-140,0-3,131-140
Graduate,7,13.1,1,0,18,1 - 1st phase - general contingent,0,1,9500 - Nursing,8,1 - Secondary Education - 12th Year of Schooling or Eq.,129.3,1,8,1 – single,149.0,4 - Administrative staff,0,-1.7,17-20,121-130,12-15,141-150
Graduate,6,13.166666666666666,1,0,19,1 - 1st phase - general contingent,0,1,9070 - Communication Design,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,125.4,1,6,1 – single,124.0,9 - Unskilled Workers,0,-3.12,17-20,121-130,12-15,121-130
Enrolled,3,12.0,1,0,19,1 - 1st phase - general contingent,0,1,9119 - Informatics Engineering,5,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,130.2,0,8,1 – single,126.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,1.74,17-20,131-140,12-15,121-130
Dropout,3,13.0,1,0,19,1 - 1st phase - general contingent,0,1,9238 - Social Service,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,132.0,0,10,1 – single,140.0,9 - Unskilled Workers,0,-0.92,17-20,131-140,12-15,141-150
Graduate,6,15.166666666666666,1,0,21,44 - Technological specialization diploma holders,1,1,9003 - Agronomy,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,170.0,1,6,1 – single,170.0,9 - Unskilled Workers,0,1.79,21-25,>170,15-18,>170
Enrolled,8,11.0,1,0,19,1 - 1st phase - general contingent,0,1,9773 - Journalism and Communication,10,3 - Higher Education - Degree,130.2,0,16,1 – single,133.0,2 - Specialists in Intellectual and Scientific Activities,1,3.51,17-20,131-140,9-12,131-140
Graduate,4,13.6,1,0,18,18 - 3rd phase - general contingent,0,1,9556 - Oral Hygiene,7,3 - Higher Education - Degree,115.5,0,10,1 – single,126.0,2 - Specialists in Intellectual and Scientific Activities,0,3.51,17-20,111-120,12-15,121-130
Dropout,3,11.0,1,0,19,16 - 1st phase - special contingent (Madeira Island),0,1,9147 - Management,5,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,127.6,1,9,1 – single,129.0,4 - Administrative staff,0,1.74,17-20,121-130,9-12,121-130
Graduate,6,13.5,1,0,25,7 - Holders of other higher courses,0,1,9773 - Journalism and Communication,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,140.0,0,6,1 – single,140.0,4 - Administrative staff,0,2.02,21-25,141-150,12-15,141-150
Graduate,6,14.666666666666666,1,0,22,1 - 1st phase - general contingent,0,1,9070 - Communication Design,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,120.2,1,12,1 – single,130.0,9 - Unskilled Workers,0,-1.7,21-25,121-130,12-15,131-140
Graduate,7,12.742857142857144,1,0,24,39 - Over 23 years old,0,1,9500 - Nursing,8,1 - Secondary Education - 12th Year of Schooling or Eq.,150.0,0,8,1 – single,130.0,4 - Administrative staff,0,-1.7,21-25,151-160,12-15,131-140
Graduate,7,13.12857142857143,1,0,19,1 - 1st phase - general contingent,0,1,9500 - Nursing,8,1 - Secondary Education - 12th Year of Schooling or Eq.,100.0,1,9,1 – single,99.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,0.79,17-20,101-110,12-15,<=100
Enrolled,3,11.666666666666666,1,0,18,43 - Change of course,0,1,9119 - Informatics Engineering,5,3 - Higher Education - Degree,100.0,0,11,1 – single,146.0,2 - Specialists in Intellectual and Scientific Activities,0,0.79,17-20,101-110,9-12,141-150
Dropout,0,0.0,0,0,20,17 - 2nd phase - general contingent,0,1,171 - Animation and Multimedia Design,0,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,128.0,0,0,1 – single,129.0,4 - Administrative staff,0,-3.12,17-20,121-130,0-3,121-130
Graduate,7,14.935714285714283,1,1,19,1 - 1st phase - general contingent,0,1,9500 - Nursing,8,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,128.0,1,8,1 – single,132.0,9 - Unskilled Workers,0,1.74,17-20,121-130,12-15,131-140
Dropout,4,10.0,1,0,19,43 - Change of course,0,1,9254 - Tourism,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,107.2,1,15,1 – single,110.0,9 - Unskilled Workers,0,0.32,17-20,101-110,9-12,111-120
Graduate,5,13.0,1,0,19,1 - 1st phase - general contingent,0,1,9670 - Advertising and Marketing Management,6,3 - Higher Education - Degree,110.1,1,6,1 – single,116.0,3 - Intermediate Level Technicians and Professions,0,1.79,17-20,111-120,12-15,111-120
Dropout,0,0.0,1,0,23,43 - Change of course,1,1,9003 - Agronomy,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,119.0,0,8,1 – single,119.0,9 - Unskilled Workers,0,-4.06,21-25,111-120,0-3,111-120
Dropout,4,14.0,1,0,47,39 - Over 23 years old,0,1,9773 - Journalism and Communication,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,155.5,0,13,2 – married,120.0,9 - Unskilled Workers,0,-1.7,41-50,151-160,12-15,121-130
Graduate,4,10.75,1,0,19,1 - 1st phase - general contingent,0,1,9070 - Communication Design,6,1 - Secondary Education - 12th Year of Schooling or Eq.,118.4,0,8,1 – single,117.0,3 - Intermediate Level Technicians and Professions,2,-0.92,17-20,111-120,9-12,111-120
Graduate,0,0.0,1,0,19,1 - 1st phase - general contingent,0,1,171 - Animation and Multimedia Design,0,1 - Secondary Education - 12th Year of Schooling or Eq.,141.2,1,0,1 – single,137.0,4 - Administrative staff,0,2.02,17-20,141-150,0-3,131-140
Dropout,0,0.0,1,0,18,1 - 1st phase - general contingent,0,1,171 - Animation and Multimedia Design,0,3 - Higher Education - Degree,119.1,1,0,1 – single,124.0,2 - Specialists in Intellectual and Scientific Activities,0,-0.92,17-20,111-120,0-3,121-130
Dropout,0,0.0,1,0,28,43 - Change of course,0,1,9147 - Management,5,1 - Secondary Education - 12th Year of Schooling or Eq.,111.0,0,9,1 – single,151.0,"1 - Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",0,-4.06,26-30,111-120,0-3,151-160
Dropout,3,11.666666666666666,1,0,20,43 - Change of course,0,1,9254 - Tourism,6,34 - Unknown,138.6,1,11,1 – single,138.6,0 - Student,0,0.32,17-20,131-140,9-12,131-140
Enrolled,4,12.0,1,1,18,17 - 2nd phase - general contingent,0,1,9254 - Tourism,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,121.2,0,9,1 – single,118.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,-4.06,17-20,121-130,12-15,111-120
Graduate,0,0.0,1,1,21,1 - 1st phase - general contingent,0,1,171 - Animation and Multimedia Design,0,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,150.4,1,0,1 – single,136.0,4 - Administrative staff,0,1.79,21-25,151-160,0-3,131-140
Enrolled,2,13.0,1,0,19,1 - 1st phase - general contingent,0,1,9254 - Tourism,6,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,117.8,0,12,1 – single,123.0,9 - Unskilled Workers,0,1.74,17-20,111-120,12-15,121-130
Dropout,0,0.0,0,0,24,39 - Over 23 years old,1,1,9254 - Tourism,6,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,102.5,0,7,1 – single,133.1,4 - Administrative staff,0,-0.92,21-25,101-110,0-3,131-140
Enrolled,3,11.333333333333334,1,0,24,39 - Over 23 years old,0,1,9130 - Equinculture,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,110.0,0,12,1 – single,130.0,191 - Cleaning workers,0,-0.92,21-25,111-120,9-12,131-140
Enrolled,0,0.0,0,0,25,39 - Over 23 years old,1,1,9085 - Veterinary Nursing,6,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,138.3,1,6,1 – single,133.1,9 - Unskilled Workers,0,3.51,21-25,131-140,0-3,131-140
Graduate,5,12.2,1,0,28,39 - Over 23 years old,0,1,9254 - Tourism,6,3 - Higher Education - Degree,122.3,0,8,1 – single,150.0,3 - Intermediate Level Technicians and Professions,0,0.79,26-30,121-130,12-15,151-160
Enrolled,3,11.333333333333334,1,0,37,39 - Over 23 years old,0,1,9991 - Management (evening attendance),5,37 - Basic education 1st cycle (4th/5th year) or equiv.,127.8,0,7,2 – married,130.0,9 - Unskilled Workers,0,0.32,31-40,121-130,9-12,131-140
Enrolled,2,10.5,1,0,19,43 - Change of course,0,1,9119 - Informatics Engineering,5,1 - Secondary Education - 12th Year of Schooling or Eq.,100.0,0,12,1 – single,128.0,4 - Administrative staff,0,0.79,17-20,101-110,9-12,121-130
Graduate,8,13.90625,1,1,18,17 - 2nd phase - general contingent,0,1,9500 - Nursing,8,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,126.4,1,8,1 – single,133.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,2.02,17-20,121-130,12-15,131-140
Dropout,1,10.0,1,0,48,39 - Over 23 years old,0,1,9254 - Tourism,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,100.0,0,15,1 – single,133.1,90 - Other Situation,0,0.32,41-50,101-110,9-12,131-140
Graduate,6,13.666666666666666,1,0,21,17 - 2nd phase - general contingent,0,1,9238 - Social Service,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,117.1,1,7,1 – single,129.0,9 - Unskilled Workers,0,3.51,21-25,111-120,12-15,121-130
Enrolled,6,12.416666666666666,1,1,19,17 - 2nd phase - general contingent,0,1,9500 - Nursing,7,1 - Secondary Education - 12th Year of Schooling or Eq.,124.7,0,10,1 – single,128.0,4 - Administrative staff,0,-4.06,17-20,121-130,12-15,121-130
Enrolled,0,0.0,1,1,21,43 - Change of course,0,1,9500 - Nursing,8,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,124.1,0,8,1 – single,136.0,9 - Unskilled Workers,8,-3.12,21-25,121-130,0-3,131-140
Dropout,0,0.0,0,0,23,44 - Technological specialization diploma holders,1,1,9119 - Informatics Engineering,5,37 - Basic education 1st cycle (4th/5th year) or equiv.,129.4,1,7,1 – single,130.0,9 - Unskilled Workers,0,0.79,21-25,121-130,0-3,131-140
Graduate,4,13.25,1,0,18,1 - 1st phase - general contingent,0,1,9130 - Equinculture,5,1 - Secondary Education - 12th Year of Schooling or Eq.,138.9,1,6,1 – single,141.0,4 - Administrative staff,1,1.74,17-20,131-140,12-15,141-150
Dropout,2,14.0,1,0,22,44 - Technological specialization diploma holders,0,1,9238 - Social Service,6,1 - Secondary Education - 12th Year of Schooling or Eq.,138.6,0,6,1 – single,140.0,4 - Administrative staff,0,0.79,21-25,131-140,12-15,141-150
Dropout,7,12.25,1,0,25,16 - 1st phase - special contingent (Madeira Island),0,1,171 - Animation and Multimedia Design,11,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,133.9,1,13,1 – single,122.0,9 - Unskilled Workers,0,1.79,21-25,131-140,12-15,121-130
Dropout,5,14.4,1,0,27,7 - Holders of other higher courses,1,1,9085 - Veterinary Nursing,11,Others,140.0,0,12,1 – single,140.0,2 - Specialists in Intellectual and Scientific Activities,0,2.02,26-30,141-150,12-15,141-150
Dropout,0,0.0,0,0,49,39 - Over 23 years old,0,1,9119 - Informatics Engineering,5,34 - Unknown,95.1,0,6,1 – single,133.1,0 - Student,0,1.74,41-50,<=100,0-3,131-140
Dropout,0,0.0,0,0,31,39 - Over 23 years old,0,1,9991 - Management (evening attendance),5,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,128.2,0,0,1 – single,120.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,-1.7,31-40,121-130,0-3,121-130
Dropout,5,14.333333333333334,1,0,54,39 - Over 23 years old,0,1,9254 - Tourism,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,121.5,0,13,1 – single,133.1,9 - Unskilled Workers,0,-0.92,51+,121-130,12-15,131-140
Dropout,12,12.25,0,0,25,7 - Holders of other higher courses,1,1,Others,16,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,120.0,1,21,1 – single,120.0,"5 - Personal Services, Security and Safety Workers and Sellers",1,2.02,21-25,121-130,12-15,121-130
Enrolled,2,11.5,1,0,20,44 - Technological specialization diploma holders,0,1,9003 - Agronomy,6,Others,130.0,0,14,1 – single,130.0,2 - Specialists in Intellectual and Scientific Activities,0,-4.06,17-20,131-140,9-12,131-140
Dropout,3,12.666666666666666,1,0,28,7 - Holders of other higher courses,0,1,9070 - Communication Design,6,4 - Higher Education - Master's,120.0,0,10,1 – single,120.0,2 - Specialists in Intellectual and Scientific Activities,0,-1.7,26-30,121-130,12-15,121-130
Graduate,6,13.166666666666666,1,0,41,39 - Over 23 years old,0,1,8014 - Social Service (evening attendance),6,37 - Basic education 1st cycle (4th/5th year) or equiv.,107.0,0,6,2 – married,133.1,9 - Unskilled Workers,0,-1.7,41-50,101-110,12-15,131-140
Enrolled,6,12.714285714285714,1,1,19,1 - 1st phase - general contingent,0,1,9670 - Advertising and Marketing Management,6,1 - Secondary Education - 12th Year of Schooling or Eq.,116.1,0,9,1 – single,122.0,4 - Administrative staff,0,2.02,17-20,111-120,12-15,121-130
Dropout,2,11.5,1,0,22,43 - Change of course,0,1,9147 - Management,5,1 - Secondary Education - 12th Year of Schooling or Eq.,114.4,0,8,1 – single,123.0,4 - Administrative staff,0,-4.06,21-25,111-120,9-12,121-130
Dropout,0,0.0,1,0,34,1 - 1st phase - general contingent,0,1,9254 - Tourism,6,2 - Higher Education - Bachelor's Degree,157.7,0,6,1 – single,178.0,2 - Specialists in Intellectual and Scientific Activities,0,-4.06,31-40,151-160,0-3,>170
Dropout,10,15.0,0,0,28,39 - Over 23 years old,1,1,9003 - Agronomy,10,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,150.0,0,11,1 – single,130.0,9 - Unskilled Workers,0,2.02,26-30,151-160,15-18,131-140
Enrolled,5,11.8,1,0,42,1 - 1st phase - general contingent,0,1,9853 - Basic Education,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,114.3,1,10,1 – single,110.0,9 - Unskilled Workers,0,0.32,41-50,111-120,9-12,111-120
Enrolled,4,14.8,0,0,21,18 - 3rd phase - general contingent,0,1,9085 - Veterinary Nursing,6,1 - Secondary Education - 12th Year of Schooling or Eq.,104.6,0,11,1 – single,106.0,3 - Intermediate Level Technicians and Professions,0,2.02,21-25,101-110,12-15,101-110
Dropout,1,13.0,1,0,50,7 - Holders of other higher courses,0,1,9003 - Agronomy,6,Others,140.0,0,9,1 – single,140.0,9 - Unskilled Workers,0,-4.06,41-50,141-150,12-15,141-150
Dropout,0,0.0,1,0,19,1 - 1st phase - general contingent,0,1,9147 - Management,5,3 - Higher Education - Degree,109.1,1,5,1 – single,108.0,3 - Intermediate Level Technicians and Professions,0,1.79,17-20,101-110,0-3,101-110
Dropout,3,10.666666666666666,1,0,18,43 - Change of course,0,1,9500 - Nursing,7,3 - Higher Education - Degree,120.6,0,10,1 – single,120.0,2 - Specialists in Intellectual and Scientific Activities,0,-0.92,17-20,121-130,9-12,121-130
Dropout,0,0.0,1,0,59,39 - Over 23 years old,0,1,9991 - Management (evening attendance),5,37 - Basic education 1st cycle (4th/5th year) or equiv.,161.9,0,7,2 – married,100.0,"1 - Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",0,-0.92,51+,161-170,0-3,101-110
Dropout,0,0.0,0,0,33,7 - Holders of other higher courses,0,1,9991 - Management (evening attendance),5,34 - Unknown,140.0,1,5,2 – married,140.0,Others,0,0.32,31-40,141-150,0-3,141-150
Graduate,5,12.8,1,1,23,17 - 2nd phase - general contingent,0,1,9070 - Communication Design,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,178.0,1,7,1 – single,133.1,9 - Unskilled Workers,0,-3.12,21-25,>170,12-15,131-140
Dropout,5,11.142857142857142,1,0,44,39 - Over 23 years old,0,1,9991 - Management (evening attendance),5,37 - Basic education 1st cycle (4th/5th year) or equiv.,138.3,0,8,2 – married,133.1,"5 - Personal Services, Security and Safety Workers and Sellers",0,0.79,41-50,131-140,9-12,131-140
Dropout,0,0.0,1,0,37,1 - 1st phase - general contingent,0,1,8014 - Social Service (evening attendance),6,34 - Unknown,128.0,1,0,2 – married,140.0,0 - Student,0,-3.12,31-40,121-130,0-3,141-150
Dropout,0,0.0,1,0,36,39 - Over 23 years old,0,1,171 - Animation and Multimedia Design,0,37 - Basic education 1st cycle (4th/5th year) or equiv.,139.0,0,0,2 – married,100.0,9 - Unskilled Workers,0,1.74,31-40,131-140,0-3,101-110
Dropout,2,10.5,0,0,22,1 - 1st phase - general contingent,0,1,9991 - Management (evening attendance),5,1 - Secondary Education - 12th Year of Schooling or Eq.,113.2,0,8,1 – single,123.0,4 - Administrative staff,2,0.32,21-25,111-120,9-12,121-130
Graduate,6,14.428571428571429,1,0,49,39 - Over 23 years old,0,1,8014 - Social Service (evening attendance),6,37 - Basic education 1st cycle (4th/5th year) or equiv.,139.0,0,8,2 – married,133.1,"6 - Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",0,1.79,41-50,131-140,12-15,131-140
Graduate,4,12.75,1,0,23,51 - Change of institution/course,0,1,9773 - Journalism and Communication,6,1 - Secondary Education - 12th Year of Schooling or Eq.,110.0,1,6,1 – single,135.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,2.02,21-25,111-120,12-15,131-140
Enrolled,3,11.0,1,0,19,1 - 1st phase - general contingent,0,1,9070 - Communication Design,6,1 - Secondary Education - 12th Year of Schooling or Eq.,136.6,1,10,1 – single,132.0,4 - Administrative staff,3,0.32,17-20,131-140,9-12,131-140
Dropout,0,0.0,1,0,47,43 - Change of course,0,1,8014 - Social Service (evening attendance),6,37 - Basic education 1st cycle (4th/5th year) or equiv.,161.1,0,6,2 – married,120.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,-0.92,41-50,161-170,0-3,121-130
Graduate,12,12.307692307692308,1,0,28,43 - Change of course,0,1,9003 - Agronomy,12,1 - Secondary Education - 12th Year of Schooling or Eq.,130.0,0,15,1 – single,130.0,4 - Administrative staff,0,-4.06,26-30,131-140,12-15,131-140
Enrolled,4,10.5,1,0,21,44 - Technological specialization diploma holders,0,1,9003 - Agronomy,6,1 - Secondary Education - 12th Year of Schooling or Eq.,140.0,0,15,1 – single,140.0,9 - Unskilled Workers,0,-4.06,21-25,141-150,9-12,141-150
Dropout,5,10.0,0,0,21,1 - 1st phase - general contingent,1,1,9254 - Tourism,6,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,121.0,0,8,1 – single,133.1,9 - Unskilled Workers,0,3.51,21-25,121-130,9-12,131-140
